PairIndex,Drug1,Drug2,Conc1,Conc2,Response,ConcUnit
5,AZD1775,Alpelisib,3000,10,75.3887442042878,nM
5,AZD1775,Alpelisib,3000,0,75.3255403524182,nM
5,AZD1775,Alpelisib,1000,10000,88.7091990775479,nM
5,AZD1775,Alpelisib,1000,3000,80.008459592481,nM
5,AZD1775,Alpelisib,1000,1000,68.3488074729641,nM
5,AZD1775,Alpelisib,1000,300,65.4326789843951,nM
5,AZD1775,Alpelisib,1000,100,62.2530390518774,nM
5,AZD1775,Alpelisib,1000,30,58.377184381842,nM
5,AZD1775,Alpelisib,1000,10,57.1033836749312,nM
5,AZD1775,Alpelisib,1000,0,55.3472889599077,nM
5,AZD1775,Alpelisib,300,10000,79.8839966226454,nM
5,AZD1775,Alpelisib,300,3000,62.5253017983927,nM
5,AZD1775,Alpelisib,300,1000,54.7502556514778,nM
5,AZD1775,Alpelisib,300,300,48.4026441898644,nM
5,AZD1775,Alpelisib,300,100,41.4998111987502,nM
5,AZD1775,Alpelisib,300,30,38.4660263090085,nM
5,AZD1775,Alpelisib,300,10,40.2785183072388,nM
5,AZD1775,Alpelisib,300,0,34.036894843376,nM
5,AZD1775,Alpelisib,100,10000,69.1072536953996,nM
5,AZD1775,Alpelisib,100,3000,47.8960410079556,nM
5,AZD1775,Alpelisib,100,1000,-26.3976559474014,nM
5,AZD1775,Alpelisib,100,300,26.9590358009306,nM
5,AZD1775,Alpelisib,100,100,23.8435720872343,nM
5,AZD1775,Alpelisib,100,30,20.4490390583598,nM
5,AZD1775,Alpelisib,100,10,17.3345477116154,nM
5,AZD1775,Alpelisib,100,0,6.49265619859623,nM
5,AZD1775,Alpelisib,30,10000,56.2700651972041,nM
5,AZD1775,Alpelisib,30,3000,38.426159263983,nM
5,AZD1775,Alpelisib,30,1000,25.197106884196,nM
5,AZD1775,Alpelisib,30,300,17.7730852068954,nM
5,AZD1775,Alpelisib,30,100,10.7632918510788,nM
5,AZD1775,Alpelisib,30,30,8.33334683842989,nM
5,AZD1775,Alpelisib,30,10,10.1565348731304,nM
5,AZD1775,Alpelisib,30,0,8.90704334001566,nM
5,AZD1775,Alpelisib,10,10000,54.0258422723567,nM
5,AZD1775,Alpelisib,10,3000,31.6925181224891,nM
5,AZD1775,Alpelisib,10,1000,26.9220858567606,nM
5,AZD1775,Alpelisib,10,300,15.1194957953232,nM
5,AZD1775,Alpelisib,10,100,12.9268083189234,nM
5,AZD1775,Alpelisib,10,30,8.98191559530736,nM
5,AZD1775,Alpelisib,10,10,6.1056541517638,nM
5,AZD1775,Alpelisib,10,0,-0.950812817741154,nM
5,AZD1775,Alpelisib,0,10000,48.3433298058021,nM
5,AZD1775,Alpelisib,0,3000,29.312163824384,nM
5,AZD1775,Alpelisib,0,1000,19.4037445851315,nM
5,AZD1775,Alpelisib,0,300,13.1951815976313,nM
5,AZD1775,Alpelisib,0,100,10.9830467821947,nM
5,AZD1775,Alpelisib,0,30,1.25451542903261,nM
5,AZD1775,Alpelisib,0,10,6.72699663398974,nM
5,AZD1775,Alpelisib,0,0,0.0137751984844088,nM
6,Alvocidib,Navitoclax,0,0,-2.93228606307294,nM
6,Alvocidib,Navitoclax,0,1,3.6354128573271,nM
6,Alvocidib,Navitoclax,0,3,0.332483574569428,nM
6,Alvocidib,Navitoclax,0,10,-1.85957603927616,nM
6,Alvocidib,Navitoclax,0,30,4.57986407393078,nM
6,Alvocidib,Navitoclax,0,100,13.0714451022272,nM
6,Alvocidib,Navitoclax,0,300,39.338000823259,nM
6,Alvocidib,Navitoclax,0,1000,56.576620504096,nM
6,Alvocidib,Navitoclax,1,0,1.45819310547079,nM
6,Alvocidib,Navitoclax,1,1,7.26163913342273,nM
6,Alvocidib,Navitoclax,1,3,0.963177709113977,nM
6,Alvocidib,Navitoclax,1,10,-2.40971092302174,nM
6,Alvocidib,Navitoclax,1,30,10.6811673318105,nM
6,Alvocidib,Navitoclax,1,100,14.2172944458283,nM
6,Alvocidib,Navitoclax,1,300,33.1041987976179,nM
6,Alvocidib,Navitoclax,1,1000,58.0553067523139,nM
6,Alvocidib,Navitoclax,3,0,4.89892110670038,nM
6,Alvocidib,Navitoclax,3,1,9.02228275943701,nM
6,Alvocidib,Navitoclax,3,3,8.6661260716942,nM
6,Alvocidib,Navitoclax,3,10,-4.72578938349206,nM
6,Alvocidib,Navitoclax,3,30,9.59361744602442,nM
6,Alvocidib,Navitoclax,3,100,19.2215079066431,nM
6,Alvocidib,Navitoclax,3,300,36.400768139523,nM
6,Alvocidib,Navitoclax,3,1000,57.6800702420134,nM
6,Alvocidib,Navitoclax,10,0,11.6764980752346,nM
6,Alvocidib,Navitoclax,10,1,2.1069070724309,nM
6,Alvocidib,Navitoclax,10,3,7.44607741814668,nM
6,Alvocidib,Navitoclax,10,10,6.62564504816772,nM
6,Alvocidib,Navitoclax,10,30,8.50288758981209,nM
6,Alvocidib,Navitoclax,10,100,19.1801682911016,nM
6,Alvocidib,Navitoclax,10,300,39.1768823216611,nM
6,Alvocidib,Navitoclax,10,1000,58.5058025627028,nM
6,Alvocidib,Navitoclax,30,0,5.37591667064163,nM
6,Alvocidib,Navitoclax,30,1,8.17747061618994,nM
6,Alvocidib,Navitoclax,30,3,8.03119197658129,nM
6,Alvocidib,Navitoclax,30,10,2.67400179844995,nM
6,Alvocidib,Navitoclax,30,30,8.11493119780653,nM
6,Alvocidib,Navitoclax,30,100,21.9160028478402,nM
6,Alvocidib,Navitoclax,30,300,39.2669814837389,nM
6,Alvocidib,Navitoclax,30,1000,59.2658154945826,nM
6,Alvocidib,Navitoclax,100,0,10.8762055179554,nM
6,Alvocidib,Navitoclax,100,1,7.48847702383035,nM
6,Alvocidib,Navitoclax,100,3,13.5304208337529,nM
6,Alvocidib,Navitoclax,100,10,14.1197753527559,nM
6,Alvocidib,Navitoclax,100,30,9.94553417319886,nM
6,Alvocidib,Navitoclax,100,100,26.4061210897405,nM
6,Alvocidib,Navitoclax,100,300,36.7346650342819,nM
6,Alvocidib,Navitoclax,100,1000,66.3507896043234,nM
6,Alvocidib,Navitoclax,300,0,54.218142437942,nM
6,Alvocidib,Navitoclax,300,1,54.5954989285266,nM
6,Alvocidib,Navitoclax,300,3,52.7776158348394,nM
6,Alvocidib,Navitoclax,300,10,58.715680610837,nM
6,Alvocidib,Navitoclax,300,30,66.3804693283019,nM
6,Alvocidib,Navitoclax,300,100,80.1243015106626,nM
6,Alvocidib,Navitoclax,300,300,87.2071556401192,nM
6,Alvocidib,Navitoclax,300,1000,89.5423139231472,nM
6,Alvocidib,Navitoclax,1000,0,77.4128467271921,nM
6,Alvocidib,Navitoclax,1000,1,80.9807735454727,nM
6,Alvocidib,Navitoclax,1000,3,82.2623016272615,nM
6,Alvocidib,Navitoclax,1000,10,87.8473896859426,nM
6,Alvocidib,Navitoclax,1000,30,95.4008794384879,nM
6,Alvocidib,Navitoclax,1000,100,97.4212206493146,nM
6,Alvocidib,Navitoclax,1000,300,98.870227173554,nM
6,Alvocidib,Navitoclax,1000,1000,101.417383485,nM
